name,records
Clavulina cinerea,2501
Fuscoporia ferrea,2465
Pluteus salicinus,2462
Gliophorus laetus,2457
Pseudosperma rimosum,2456
Calocybe gambosa,2451
Postia caesia,2445
Mycena rosea,2440
Agaricus sylvaticus,2429
Amanita excelsa,2425
Panellus stipticus,2412
Leotia lubrica,2409
Ramularia rubella,2394
Acer campestre,2385
Oryctolagus cuniculus,2374
Psathyrella corrugis,2374
Atheniella flavoalba,2372
Prunus spinosa,2362
Diatrypella quercina,2360
Kuehneola uredinis,2352
Clavulina rugosa,2333
Gliophorus irrigatus,2327
Infundibulicybe geotropa,2323
Lycoperdon excipuliforme,2322
Panaeolus acuminatus,2320
Scutellinia scutellata,2319
Cirsium arvense,2315
Suillus bovinus,2291
Filipendula ulmaria,2279
Lactarius pyrogalus,2269
Vuilleminia comedens,2260
Rumex obtusifolius,2250
Corylus,2227
Datronia mollis,2225
Lactarius vietus,2211
Armillaria gallica,2208
Ceratiomyxa fruticulosa,2208
Postia subcaesia,2208
Russula sardonia,2204
Sawadaea bicornis,2183
Tussilago farfara,2183
Collybia odora,2170
Lycoperdon pratense,2170
Entoloma sericeum,2169
Postia stiptica,2161
Russula aeruginea,2143
Mensularia radiata,2135
Reticularia lycoperdon,2129
Equus ferus,2123
Cyathicula cyathoidea,2121
Phaeolus schweinitzii,2118
Stereum sanguinolentum,2117
Circaea lutetiana,2112
Hydnoporia corrugata,2107
Ranunculus repens,2107
Polyporus badius,2103
Puccinia punctiformis,2102
Aleuria aurantia,2100
Xylaria longipes,2098
Skeletocutis semipileata,2082
Daedalea quercina,2073
Cantharellus tubaeformis,2072
Mycena acicula,2072
Laccaria proxima,2068
Lycogala terrestre,2066
Sphagnum,2064
Puccinia arenariae,2061
Puccinia lagenophorae,2039
Gymnopilus junonius,2035
Senecio vulgaris,2028
Pseudotsuga menziesii,2024
Arum maculatum,2004
Leccinum versipelle,1998
Porpolomopsis calyptriformis,1997
Puccinia sessilis,1976
Sarcoscypha austriaca,1975
Amanita phalloides,1974
Tricholoma sulphureum,1960
Rosa,1956
Melanoleuca polioleuca,1951
Salix cinerea,1936
Mutinus caninus,1917
Biscogniauxia nummularia,1910
Peniophora lycii,1906
Lactarius camphoratus,1900
Agaricus arvensis,1886
Clitocybe metachroa,1884
Auricularia mesenterica,1880
Rickenella swartzii,1873
Russula claroflava,1867
Taraxacum,1865
Mercurialis perennis,1858
Urtica,1845
Collybia rivulosa,1842
Agaricus sylvicola,1818
Puccinia coronata,1810
Cuphophyllus russocoriaceus,1806
Melampsoridium betulinum,1798
Lactifluus vellereus,1789
Larix decidua,1782
Inonotus hispidus,1780
Entoloma rhodopolium,1778
Rhododendron,1778
Amanita vaginata,1773
Mycena aetites,1773
Calloria tremelloides,1772
Chaetosphaerella phaeostroma,1758
Russula parazurea,1753
Prunus,1752
Chamaenerion angustifolium,1751
Phaeotremella foliacea,1751
Lactarius deliciosus,1749
Lactarius pubescens,1738
Baeospora myosura,1728
Helvella lacunosa,1719
Stropharia aeruginosa,1708
Lyophyllum decastes,1689
Thelephora terrestris,1685
Fuscoporia ferruginosa,1663
Stereum subtomentosum,1662
Populus tremula,1654
Hebeloma mesophaeum,1650
Hypoxylon rubiginosum,1646
Russula delica,1638
Puccinia malvacearum,1635
Coniophora puteana,1626
Lentinus brumalis,1623
Tricholoma terreum,1623
Lapsana communis,1620
Sorbus aucuparia,1618
Panaeolus semiovatus,1609
Russula xerampelina,1605
Volvopluteus gloiocephalus,1592
Melampsora populnea,1591
Sambucus,1587
Pholiota gummosa,1585
Aegopodium podagraria,1584
Xerocomellus pruinatus,1583
Scleroderma areolatum,1578
Tricholoma ustale,1576
Galerina marginata,1568
Neobulgaria pura,1562
Clitocybe vibecina,1558
Russula foetens,1555
Neoerysiphe galeopsidis,1538
Dermoloma cuneifolium,1535
Clavaria fragilis,1532
Diatrypella favacea,1531
Ilex,1529
Uromyces muscari,1528
Hyacinthoides non-scripta,1521
Juncus,1519
Tricholoma saponaceum,1515
Agaricus xanthodermus,1513
Orbilia xanthostigma,1497
Phacidium lauri,1476
Clavulinopsis fusiformis,1472
Galerina hypnorum,1472
Suillus variegatus,1471
Clavulinopsis luteoalba,1467
Plantago major,1464
Entyloma ficariae,1460
Hebeloma sacchariolens,1460
Entoloma sericellum,1453
Puccinia violae,1451
Lichenomphalia ericetorum,1445
Pinus nigra,1444
Xanthoria parietina,1443
Pleurotus cornucopiae,1442
Lactarius deterrimus,1440
Ulex,1433
Polydesmia pruinosa,1419
Cortinarius anomalus,1408
Gymnopus erythropus,1408
Bovista plumbea,1400
Cudoniella acicularis,1399
Mycena metata,1395
Parasola conopila,1392
Peniophora cinerea,1392
Rugosomyces carneus,1382
Carex pendula,1380
Xerocomellus cisalpinus,1378
Cylindrobasidium laeve,1357
Mycena pelianthina,1353
Geastrum triplex sensu auct.,1347
Geoglossum fallax,1341
Mucilago crustacea,1340
Juncus effusus,1339
Cordyceps militaris,1336
Trichia varia,1336
Dactylis glomerata,1333
Golovinomyces sordidus,1332
Phragmites australis,1332
Hygrocybe acutoconica,1331
Mycena olida,1321
Hymenoscyphus fructigenus,1320
Trametes hirsuta,1319
Golovinomyces cichoracearum,1312
Stropharia caerulea,1312
Puccinia poarum,1309
Marasmius epiphyllus,1299
Pseudoclitocybe cyathiformis,1291
Physarum album,1281
Dasyscyphella nivea,1276
Tubaria conspersa,1276
Peniophora incarnata,1273
Calvatia gigantea,1270
Inocybe asterospora,1269
Psathyrella spadiceogrisea,1269
Peniophora limitata,1264
Hypholoma lateritium,1260
Arcyria denudata,1257
Ramaria stricta,1252
Echinoderma asperum,1242
Grifola frondosa,1242
Panaeolus fimicola,1240
Uromyces ficariae,1240
Chroogomphus rutilus,1237
Glechoma hederacea,1235
Vaccinium myrtillus,1230
Cedrus,1227
Conocybe tenera,1227
Radulomyces confluens,1221
Alnicola escharioides,1220
Lactarius chrysorrheus,1219
Ammophila arenaria,1216
Parasola leiocephala,1211
Plicatura crispa,1209
Hyaloscypha aureliella,1208
Anemone nemorosa,1207
Hygrocybe glutinipes,1200
Ulmus glabra,1200
Comatricha nigra,1197
Coprinopsis picacea,1193
Puccinia menthae,1189
Hygrocybe miniata,1188
Agrocybe praecox,1187
Cortinarius hemitrichus,1186
Russula nitida,1172
Abies,1166
Sarcomyxa serotina,1156
Tricholoma scalpturatum,1155
Lactarius aurantiacus,1154
Rumex,1153
Russula puellaris,1148
Macrotyphula fistulosa,1145
Puccinia urticata,1145
Russula caerulea,1142
Melanoleuca melaleuca,1140
Polyporus tuberaster,1139
Buxus sempervirens,1136
Stemonitis fusca,1135
Sparassis crispa,1133
Mycena capillaris,1132
Phragmidium mucronatum,1132
Epilobium hirsutum,1130
Russula velenovskyi,1127
Uromyces dactylidis,1123
Mycena crocata,1117
