name,records
Fomitopsis pinicola,148
Lepiota ignivolvata,148
Lycoperdon umbrinum,148
Polygonum aviculare,148
Russula solaris,148
Tetracladium furcatum,148
Tremella globispora,148
Uromyces lineolatus,148
Alatospora flagellata,147
Diachea leucopodia,147
Echinoderma echinaceum,147
Granulobasidium vellereum,147
Lecidella stigmatea,147
Pholiotina velata,147
Podosphaera dipsacacearum,147
Protoparmeliopsis muralis,147
Pyrenopeziza carduorum,147
Scleroderma cepa,147
Thedgonia ligustrina,147
Triposporium elegans,147
Agrocybe elatella,146
Lichenomphalia hudsoniana,146
Pilobolus kleinii,146
Porpidia tuberculosa,146
Psilolechia lucida,146
Pyronema omphalodes,146
Ramularia lamii,146
Uromyces beticola,146
Cheilymenia raripila,145
Deconica merdaria,145
Erysiphe knautiae,145
Lotus corniculatus,145
Mucor mucedo,145
Galerina atkinsoniana,144
Hohenbuehelia atrocoerulea,144
Matricaria discoidea,144
Myxomphalia maura,144
Puccinia arrhenatheri,144
Ribes nigrum,144
Rosa spinosissima,144
Clavaria incarnata,143
Cortinarius saniosus,143
Entoloma,143
Erysiphe flexuosa,143
Medicago lupulina,143
Peronospora conferta,143
Phragmidium rosae-pimpinellifoliae,143
Potentilla reptans,143
Pteridium,143
Sebacina epigaea,143
Silene,143
Verbascum thapsus,143
Calocybe gangraenosa,142
Crepidotus calolepis,142
Diplocarpon fragariae,142
Entyloma microsporum,142
Hemitrichia clavata,142
Ochrolechia parella,142
Ramularia glechomatis,142
Venturia inaequalis,142
Arthrocladiella mougeotii,141
Entoloma sarcitulum,141
Mycena erubescens,141
Mycena mirata,141
Rhizocarpon reductum,141
Spilopodia nervisequa,141
Taphrina sadebeckii,141
Asplenium ruta-muraria,140
Cerrena unicolor,140
Hemimycena delectabilis,140
Hippophae rhamnoides,140
Lachnellula resinaria,140
Sporidesmiella hyalosperma,140
Bispora antennata,139
Calomyxa metallica,139
Cylindrium aeruginosum,139
Lachnum soppittii,139
Peniophora violaceolivida,139
Perichaena depressa,139
Puccinia hordei,139
Rugosomyces ionides,139
Russula romellii,139
Vesiculomyces citrinus,139
Calycellina rubescens,138
Conocybe pilosella,138
Crepidotus autochthonus,138
Entoloma ameides,138
Flavoparmelia caperata,138
Galerina tibiicystis,138
Golovinomyces asperifolii,138
Hohenbuehelia cyphelliformis,138
Ischnoderma resinosum,138
Psathyrella gossypina,138
Ramularia calcea,138
Ramularia pastinacae-sativae,138
Scutellinia cejpii,138
Tetrachaetum elegans,138
Cedrus libani,137
Chrysothrix candelaris,137
Colletotrichum trichellum,137
Diderma effusum,137
Galerina uncialis,137
Geoglossum nigritum,137
Hypospilina pustula,137
Mycena diosma,137
Peziza ampliata,137
Phlyctis argena,137
Schizothecium vesticola,137
Tricholomella constricta,137
Uromyces trifolii,137
Anthracobia maurilabra,136
Coprinopsis urticicola,136
Cyathicula starbaeckii,136
Lepiota subgracilis,136
Pirottaea nigrostriata,136
Prunus cerasifera,136
Pseudotricholoma metapodium,136
Russula praetervisa,136
Sowerbyella radiculata,136
Calycellina alniella,135
Cortinarius brunneus,135
Cupressus macrocarpa x nootkatensis = C. x leylandii,135
Lachnellula willkommii,135
Lophiostoma semiliberum,135
Neonectria ditissima,135
Puccinia striiformis,135
Skeletocutis carneogrisea,135
Thelephora palmata,135
Tomentellopsis echinospora,135
Viola hirta,135
Cistella acuum,134
Coprinellus silvaticus,134
Hypericum calycinum,134
Hypholoma radicosum,134
Lidophia graminis,134
Melanelixia subaurifera,134
Orbilia luteorubella,134
Puccinia urticae-acutiformis,134
Tranzscheliella hypodytes,134
Brassica oleracea,133
Clitocybe diatreta,133
Cortinarius traganus,133
Merismodes fasciculata,133
Peronospora alsinearum,133
Calogaya pusilla,132
Coprinopsis cortinata,132
Echinosphaeria canescens,132
Hohenbuehelia petaloides,132
Lyophyllum fumosum,132
Russula cessans,132
Veronica chamaedrys,132
Agaricus cappellianus,131
Alchemilla,131
Alnus incana,131
Cladonia fimbriata,131
Cortinarius purpureus,131
Festuca rubra,131
Limacella guttata,131
Pholiota scamba,131
Physcia aipolia,131
Sistotrema confluens,131
Trechispora stevensonii,131
Phaeoclavulina flaccida,130
Psilachnum inquilinum,130
Sarea resinae,130
Amanita franchetii,129
Golovinomyces asperifoliorum,129
Inocybe nitidiuscula,129
Juncus inflexus,129
Lactuca sativa,129
Lophiostoma angustilabrum,129
Pleurophragmium parvisporum,129
Psathyrella leucotephra,129
Asterostroma cervicolor,128
Camarographium stephensii,128
Cortinarius callochrous,128
Dendrostilbella prasinula,128
Fuligo candida,128
Hydnellum ferrugineum,128
Hypochnicium geogenium,128
Melanelixia glabratula,128
Phloeospora ulmi,128
Pyrenopeziza lychnidis,128
Baeomyces rufus,127
Campanula rotundifolia,127
Craterellus cinereus,127
Erysiphe ornata,127
Geranium dissectum,127
Hemimycena mairei,127
Hydrocotyle vulgaris,127
Lactarius mammosus,127
Lepraria finkii,127
Marasmius bulliardii,127
Rhizodiscina lignyota,127
Russula recondita,127
Uromyces armeriae,127
Albotricha acutipila,126
Aphis (Aphis) fabae,126
Flagellospora curvula,126
Galerina sphagnorum,126
Gloeoporus taxicola,126
Lecanora sulphurea,126
Pezicula rubi,126
Rumex sanguineus,126
Arachnopeziza aurata,125
Athallia holocarpa,125
Camaropella lutea,125
Chaetomium elatum,125
Fusarium sambucinum,125
Moehringia trinervia,125
Peniophorella pallida,125
Phaeosphaeria eustoma,125
Psathyrella cotonea,125
Puccinia glomerata,125
Pyrus,125
Ramularia valerianae,125
Russula faginea,125
Russula odorata,125
Tyromyces wynneae,125
Agaricus macrocarpus,124
Anguillospora longissima,124
Bonomyces sinopicus,124
Clitopilus scyphoides,124
Dematioscypha delicata,124
Lophodermium seditiosum,124
Psilachnum eburneum,124
Ramaria botrytis,124
Septoria stachydis,124
Trichoderma citrinum,124
Tulosesus pellucidus,124
Verrucaria muralis,124
Brassica,123
Buchwaldoboletus lignicola,123
Cardamine hirsuta,123
Diderma spumarioides,123
Emmia latemarginata,123
Hebeloma album,123
Lentinus tigrinus,123
Protoblastenia rupestris,123
Tomentella crinalis,123
Alnicola salicis,122
Bambuseae,122
Dictyochaeta callimorpha,122
Epilobium ciliatum,122
Luzula multiflora,122
Peronospora lamii,122
Schizopora radula,122
Tanacetum vulgare,122
Tilia platyphyllos,122
Trichothecium roseum,122
Tuberculina sbrozzii,122
Conocybe pulchella,121
Cortinarius subbalaustinus,121
Dissingia leucomelaena,121
Entoloma longistriatum,121
Geastrum pectinatum,121
Hypochaeris radicata,121
Lactarius acris,121
Lichenomphalia alpina,121
Melampsorella caryophyllacearum,121
Peniophora rufomarginata,121
Phellodon confluens,121
Podospora decipiens,121
Puccinia calthae,121
Brunnipila palearum,120
Cortinarius rigens,120
Gyrophanopsis polonensis,120
Malvipezia howsei,120
Milesina murariae,120
Mollisia amenticola,120
Polystichum setiferum,120
Agaricus osecanus,119
Alloexidiopsis calcea,119
Cerastium glomeratum,119
Circinaria calcarea,119
Colletotrichum dematium,119
Erysiphe euonymi,119
Exophiala calicioides,119
Hymenochaete cinnamomea,119
Hymenoscyphus vernus,119
Lonicera,119
Lyophyllum ambustum,119
Mollisia ventosa,119
Paraisaria gracilis,119
Peronospora conglomerata,119
Physarum compressum,119
Puccinia hysterium,119
Tomentella bryophila,119
Ascobolus carbonarius,118
Botryobasidium laeve,118
Conocybe mesospora,118
Coprinopsis tuberosa,118
Diplotomma alboatrum,118
Erysiphe penicillata,118
Hyphoderma roseocremeum,118
Hypogymnia tubulosa,118
Inocybe phaeodisca,118
Lactarius aspideus,118
Menispora glauca,118
Phanerochaete laevis,118
Aleurodiscus wakefieldiae,117
Badhamia foliicola,117
Codinaea fertilis,117
Coprinellus truncorum,117
Erysiphe azaleae,117
Impatiens glandulifera,117
Inocybe haemacta,117
Magnoliidae,117
Peltigera membranacea,117
Stellaria holostea,117
Tetraploa aristata,117
Tuber aestivum,117
Agrostis stolonifera,116
Apiognomonia errabunda,116
Araucaria araucana,116
Botryobasidium danicum,116
Cladonia portentosa,116
Gloeoporus dichrous,116
Mycena smithiana,116
Oryctolagus,116
Podosphaera mors-uvae,116
Xylodon brevisetus,116
Agaricus,115
Cortinarius cinnabarinus,115
Cortinarius cinnamomeoluteus,115
Entoloma ortonii,115
Fibrodontia gossypina,115
Helvella sublicia,115
Hygrophorus chrysodon,115
Inocybe proximella,115
Microthyrium ilicinum,115
Neolentinus lepideus,115
Paragalactinia michelii,115
Stictis radiata,115
Agrocybe vervacti,114
Brachysporium bloxamii,114
Calendula officinalis,114
Coprinopsis semitalis,114
Cortinarius collinitus,114
Hymenoscyphus phyllogenus,114
Lactarius lilacinus,114
Lepiota fuscovinacea,114
Lopadostoma turgidum,114
Lophodermium juniperinum,114
Sclerotinia sclerotiorum,114
Taphrina padi,114
Tricholoma pessundatum,114
Arthonia radiata,113
Arthrinium phaeospermum,113
Brunnipila clandestina,113
Ceriporia excelsa,113
Euonymus japonicus,113
Mallocybe agardhii,113
Narcissea patouillardii,113
Otidea cochleata,113
Perilachnea hemisphaerioides,113
Pyrenopeziza adenostylidis,113
Russula cicatricata,113
Russula illota,113
Tricholoma vaccinum,113
Cortinarius bivelus,112
Dryas octopetala,112
Entoloma vernum,112
Nardus stricta,112
Phyllosticta philoprina,112
Puccinia maculosa,112
Pyrenopeziza digitalina,112
Scytinostroma portentosum,112
Stomiopeltis betulae,112
Suillus collinitus,112
Syringa vulgaris,112
Tricladium fallax,112
Uromyces hyacinthi,112
Volvariella pusilla,112
Xenotypa aterrima,112
Agaricus porphyrocephalus,111
Aquilegia vulgaris,111
Brefeldia maxima,111
Cirsium heterophyllum,111
Coprinopsis jonesii,111
Corynespora smithii,111
Erysiphe capreae,111
Erysiphe euonymicola,111
Lentomitella cirrhosa,111
Lophiotrema vagabundum,111
Narcissea ephemeroides,111
Phoma herbarum,111
Trechispora nivea,111
Tubeufia cerea,111
Carex panicea,110
Clitocella popinalis,110
Comatricha tenerrima,110
Conocybe siennophylla,110
Cortinarius amoenolens,110
Cyathicula amenti,110
Helminthosporium oligosporum,110
Helvella corium,110
Hysterographium fraxini,110
Mollisia caricina,110
Neohygrocybe ingrata,110
Parasola schroeteri,110
Podosphaera senecionis,110
Sphaerulina cornicola,110
Vicia sativa,110
Achillea millefolium,109
Diaporthe strumella,109
Exidia saccharina,109
Lecidella scabra,109
Peronospora sordida,109
Peziza fimeti,109
Ploettnera exigua,109
Podosphaera myrtillina,109
Septoria rumicum,109
Buellia aethalea,108
Faerberia carbonaria,108
Lepiota brunneoincarnata,108
Lepiota grangei,108
Lepiota subalba,108
Marasmius curreyi,108
Pyrenopeziza dilutella,108
Russula persicina,108
Sphaeronaemella fimicola,108
Tubulicrinis glebulosus,108
Carex binervis,107
Clavaria tenuipes,107
Culicidospora aquatica,107
Fomitiporia hippophaicola,107
Geastrum britannicum,107
Lunaria annua,107
Mycocentrospora acerina,107
Onygena equina,107
Oxalis articulata,107
Triticum,107
Tulosesus ephemerus,107
Typhula micans,107
Uromyces acetosae,107
Alternaria alternata,106
Ascotremella faginea,106
Cryptocoryneum condensatum,106
Entoloma anatinum,106
Favolaschia claudopus,106
Fusoidiella depressa,106
Geastrum coronatum,106
Inocybe subcarpta,106
Mollisia filispora,106
Nectriopsis sporangiicola,106
Trechispora confinis,106
Acer palmatum,105
Agaricus bresadolanus,105
Arrhenia gerardiana,105
Carex hirta,105
Cladonia furcata,105
Cladonia pyxidata,105
Conocybe semiglobata,105
Eranthis hyemalis,105
Golovinomyces asterum,105
Lachnum pudibundum,105
Mentha spicata,105
Somion occarium,105
Tricholoma orirubens,105
Bistorta officinalis,104
Claussenomyces atrovirens,104
Clypeosphaeria mamillana,104
Erysiphe prunastri,104
Gnomonia gnomon,104
Hordeum,104
Peronospora arborescens,104
Pseudocercospora depazeoides,104
Ramularia caduca,104
Sydowiella fenestrans,104
Verrucaria hochstetteri,104
Armeria maritima,103
Erysiphe symphoricarpi,103
Hyacinthoides,103
Hypericum perforatum sensu Stace,103
Leucoagaricus serenus,103
Neovaginatispora fuckelii,103
Peltigera hymenina,103
Psathyrella,103
Russula veternosa,103
Salix viminalis,103
Schizophyllum amplum,103
Ciboria conformata,102
Cortinarius talus,102
Cryptomyces maximus,102
Geoscypha violacea,102
Helosciadium nodiflorum,102
Leucocoprinus birnbaumii,102
Rinodina oleae,102
Urocystis eranthidis,102
Agaricus phaeolepidotus,101
Chaetosphaeria innumera,101
Morchella vulgaris,101
Peziza sepiatra,101
Pterula gracilis,101
Ramsbottomia asperior,101
Ramularia sambucina,101
Sclerophomella complanata,101
Synchytrium mercurialis,101
Tripolium pannonicum,101
Agaricus litoralis,100
Algae,100
Alnicola alnetorum,100
Arrhenia griseopallida,100
Canis lupus,100
Craterium aureum,100
Desmazierella acicola,100
Entoloma mougeotii,100
Galerina sideroides,100
Geranium sylvaticum,100
Inocybe,100
Lachnum corticale,100
Metatrichia vesparia,100
Mycena alcalina,100
Periconia hispidula,100
Phaeoclavulina decurrens,100
Phaeosphaeria herpotrichoides,100
Phaeosphaeria nigrans,100
Phaeosphaeriopsis glaucopunctata,100
Porodaedalea pini,100
Porpidia macrocarpa,100
Prunus lusitanica,100
Puccinia holcina,100
Thanatephorus fusisporus,100
Uromyces behenis,100
Agaricus bohusii,99
Brachysporium nigrum,99
Conocybe juniana,99
Galerina praticola,99
Lycoperdon dermoxanthum,99
Mollisia hydrophila,99
Pholiotina brunnea nom. nud.,99
Podosphaera fuliginea,99
Postia wakefieldiae,99
Pulvinula convexella,99
Russula curtipes,99
Tomentella ellisii,99
Volvariella surrecta,99
Aphanobasidium filicinum,98
Conocybe brunneola,98
Hebeloma anthracophilum,98
Hygrophorus lucorum,98
Inocybe grammata,98
Melanophyllum eyrei,98
Phellinopsis conchata,98
Pholiotina teneroides,98
Physarum pusillum,98
Psathyrella bipellis,98
Psilocybe subcoprophila,98
Russula insignis,98
Suillus cavipes,98
Symphytum asperum x officinale = S. x uplandicum,98
Thelebolus nanus,98
Valsa ceratosperma,98
Arrhenia oniscus,97
Aulographum hederae,97
Botryobasidium isabellinum,97
Clonostachys ralfsii,97
Cortinarius helvelloides,97
Cortinarius scaurus,97
Fuscolachnum pteridis,97
Knautia arvensis,97
Menispora caesia,97
Octospora humosa,97
Poa trivialis,97
Resupinatus poriaeformis,97
Tubulicrinis accedens,97
Usnea subfloridana,97
Vararia ochroleuca,97
Verrucaria macrostoma,97
Amanita eliae,96
Entoloma araneosum,96
Frommeella tormentillae,96
Lamiastrum galeobdolon,96
Melastiza scotica,96
Microstroma album,96
Petasites pyrenaicus,96
Phlebiella tulasnelloidea,96
Poa humilis,96
Russula aurea,96
Stemonitis herbatica,96
Typhula uncialis,96
Viburnum tinus,96
Cheilymenia coprinaria,95
Cinereomyces lindbladii,95
Clitocybe agrestis,95
Entoloma lividoalbum,95
Euphrasia,95
Exidia repanda,95
Flavoplaca citrina,95
Hebeloma pumilum,95
Mnium hornum,95
Phallus hadriani,95
Phanerochaete sanguinea,95
Ramaria formosa,95
Russula acetolens,95
Sertulicium niveocremeum,95
Helicogloea lagerheimii,94
Helvella atra,94
Hypomyces lateritius,94
Iris,94
Laccaria purpureobadia,94
Leptosphaeria,94
Lophodermium apiculatum,94
Neonectria punicea,94
Orbilia coccinella,94
Phaeosphaeria microscopica,94
Podosphaera macularis,94
Pyrenopeziza chamaenerionis,94
Rubroboletus legaliae,94
Rubus caesius,94
Sordaria fimicola,94
Sporormiella australis,94
Tapesia rosae,94
Tricladium castaneicola,94
Uromyces fallens,94
Avena sativa,93
Cladosporium cladosporioides,93
Cyathicula subhyalina,93
Erysiphe grossulariae,93
Farysia thuemenii,93
Hygrophorus nemoreus,93
Lecidea fuscoatra,93
Lepra albescens,93
Lophodermium conigenum,93
Perichaena chrysosperma,93
Pseudoperonospora humuli,93
Puccinia pseudosphaeria,93
Ramularia geranii,93
Ramularia vallisumbrosae,93
Rosellinia britannica,93
Tubeufia paludosa,93
Byssonectria fusispora,92
Cortinarius caerulescens,92
Diaporthe pardalota,92
Empetrum nigrum,92
Hymenoscyphus phyllophilus,92
Inosperma cervicolor,92
Myosotis sylvatica,92
Parastagonospora nodorum,92
Peronospora chenopodii,92
Phaeostalagmus cyclosporus,92
Pluteus pellitus,92
Rumex acetosella,92
Russula laccata,92
Sorbus aria,92
Athelopsis lembospora,91
Carex nigra,91
Cladonia macilenta,91
Cortinarius stillatitius,91
Galerina nana,91
Helvella levis,91
Hydnellum aurantiacum,91
Odoria alborubescens,91
Peronospora calotheca,91
Puccinia dioicae,91
Puccinia piloselloidearum,91
Spondylocladiopsis cupulicola,91
Symphoricarpos albus,91
Thyronectria sinopica,91
Volvariella murinella,91
Xylohypha nigrescens,91
Agaricus lanipes,90
Albotricha albotestacea,90
Arctostaphylos uva-ursi,90
Athelia neuhoffii,90
Botryosporium pulchrum,90
Candelariella aurella,90
Clathrus ruber,90
Coniochaeta ligniaria,90
Echinoderma perplexum,90
Entoloma lividocyanulum,90
Entyloma helosciadii,90
Euepixylon udum,90
Geranium pyrenaicum,90
Hebeloma,90
Hypocenomyce scalaris,90
Lepiota ochraceofulva,90
Leucocoprinus cepistipes,90
Nectriopsis rexiana,90
Postia leucomallella,90
Pyrenopeziza pulveracea,90
Trapelia coarctata,90
Xylodon quercinus,90
Zoophthora aphidis,90
Astraeus hygrometricus,89
Corticium roseum,89
Cortinarius bibulus,89
Dialonectria magnusiana,89
Fuligo muscorum,89
Geopora arenosa,89
Hygrocybe spadicea,89
Ligustrum ovalifolium,89
Megalocystidium luridum,89
Muscinupta laevis,89
Mycoacia nothofagi,89
Naematelia aurantia,89
Nigrograna fuscidula,89
Parietaria judaica,89
Pocheina rosea,89
Pseudonectria buxi,89
Russula badia,89
Stegonsporium pyriforme,89
Agaricus subperonatus,88
Armillaria bulbosa,88
Berberis,88
Chamerion,88
Echinula asteriadiformis,88
Galium album,88
Gyroporus cyanescens,88
Hodophilus atropunctus,88
Hydnellum scrobiculatum,88
Juglans regia,88
Lactarius mairei,88
Lepiota tomentella,88
Lichenomphalia velutina,88
Muscari armeniacum,88
Oculimacula yallundae,88
Ophiocordyceps forquignonii,88
Parmotrema perlatum,88
Peniophora nuda,88
Peniophora proxima,88
Petasites,88
Phragmocephala elliptica,88
Ramularia ulmariae,88
Tsuga,88
Verrucaria viridula,88
Alternaria tenuissima,87
Ascobolus brassicae,87
Coleosporium euphrasiae,87
Coprinellus flocculosus,87
Davidiella macrospora,87
Erysiphe lycopsidis,87
Hebeloma sordescens,87
Inocybe calospora,87
Isthmotricladia britannica,87
Licea variabilis,87
Lycium barbarum,87
Malva neglecta,87
Mollisia benesuada,87
Mollisia fallax,87
Mycena mucor,87
Paraconiothyrium fuckelii,87
Pyrenochaeta ilicis,87
Rutstroemia petiolorum,87
Serpula lacrymans,87
Sporormiella minima,87
Terriera cladophila,87
Uromyces junci,87
Vialaea insculpta,87
Aquilegia,86
Calocera furcata,86
Camarophyllopsis schulzeri,86
Conocybe velutipes,86
Entoloma cuneatum,86
Entoloma turci,86
Galeopsis tetrahit,86
Hyacinthoides non-scripta x hispanica = H. x massartiana,86
Macbrideola cornea,86
Nitschkia grevillii,86
Ochropsora ariae,86
Parasola hemerobia,86
Phellinus lundellii,86
Phlebia subochracea,86
Pyronema domesticum,86
Schizopora flavipora,86
Velutarina rufo-olivacea,86
Abrothallus parmeliarum,85
Ajuga reptans,85
Ascobolus crenulatus,85
Boidinia furfuracea,85
Candelabrum spinulosum,85
Deschampsia,85
Gliophorus perplexus,85
Gyrodon lividus,85
Kneiffiella alutacea,85
Lecanora soralifera,85
Legaliana limnaea,85
Mycena meliigena,85
Ophiognomonia alni-viridis,85
Otidea leporina,85
Peronospora agrestis,85
Persicaria maculosa,85
Phlebia lilascens,85
Russula cuprea,85
Schedonorus giganteus,85
Xanthoria calcicola,85
Antherospora hortensis,84
Beauveria bassiana,84
Boeremia exigua,84
Camarops polysperma,84
Cortinarius elegantissimus,84
Crepidotus,84
Diderma floriforme,84
Hordeum vulgare,84
Hydropus subalpinus,84
Hygrophorus persoonii,84
Leptotrochila verrucosa,84
Microbotryum succisae,84
Narcissus,84
Pilosella officinarum,84
Postia balsamea,84
Puccinia hydrocotyles,84
Pyrenopeziza plantaginis,84
Ramularia rufibasis,84
Tetracladium breve,84
Viola canina,84
Arundinaria,83
Calycellina fagina,83
Cliostomum griffithii,83
Diaporthe pulla,83
Gamundia striatula,83
Hebeloma birrus,83
Hygrophorus unicolor,83
Hypoxylon subticinense,83
Licea minima,83
Limacella glioderma,83
Melanconis alni,83
Mentha arvensis,83
Pellidiscus pallidus,83
Punctelia subrudecta,83
Septoria scabiosicola,83
Symphytocarpus flaccidus,83
Taphridium umbelliferarum,83
Taphrina deformans,83
Trichophaea woolhopeia,83
Agaricus fuscofibrillosus,82
Ascozonus woolhopensis,82
Clonostachys rosea,82
Coprinopsis macrocephala,82
Cyathicula culmicola,82
Dermoloma pseudocuneifolium,82
Diaporthopsis urticae,82
Golovinomyces macrocarpus,82
Helicobasidium purpureum,82
Hyaloscypha fuckelii,82
Hymenoscyphus salicellus,82
Melanustilospora ari,82
Pholiotina blattaria,82
Plasmopara angelicae,82
Pluteus atromarginatus,82
Pseudaleuria fibrillosa,82
Pseudovalsa lanciformis,82
Puccinia heraclei,82
Puccinia paludosa,82
Schoenoplectus lacustris,82
Scorzoneroides autumnalis,82
Xeromphalina campanella,82
Ascochyta mercurialis,81
Basidiodendron eyrei,81
Berberis thunbergii,81
Caryophylloseptoria lychnidis,81
Chamaenerion,81
Coleosporium sonchi,81
Cronartium ribicola,81
Lactarius,81
Lactarius citriolens,81
Licea kleistobolus,81
Nitschkia confertula,81
Psathyrella fusca,81
Pseudoperonospora urticae,81
Puccinia urticae-hirtae,81
Russula alnetorum,81
Russula melliolens,81
Scoliciosporum umbrinum,81
Trifolium medium,81
Tripospermum camelopardus,81
Tulosesus callinus,81
Acremonium,80
Daphne laureola,80
Dermoloma atrocinereum,80
Entoloma lucidum,80
Fallopia convolvulus,80
Ganoderma,80
Hamatocanthoscypha laricionis,80
Hebeloma aestivale,80
Hygrophorus agathosmus,80
Hymenoscyphus rokebyensis,80
Hypsizygus ulmarius,80
Karstenia rhopaloides,80
Leptosporomyces galzinii,80
Ligustrum vulgare,80
Marchandiomyces corallinus,80
Mycena alba,80
Myosotis,80
Peniophora,80
Phaeoisaria clavulata,80
Phellinus tremulae,80
Pholiotina mairei nom. nud.,80
Pholiotina vexans,80
Physarum virescens,80
Tetracladium maxilliforme,80
Anthostomella rubicola,79
Calycellina ulmariae,79
Cenangium ferruginosum,79
Centranthus ruber,79
Chaetosphaeria inaequalis,79
Cheilymenia crucipila,79
Clitocybe,79
Conocybe pygmaeoaffinis,79
Coprinopsis laanii,79
Cortinarius malicorius,79
Daedaleopsis tricolor,79
Diaporthe rostellata,79
Erysiphe buhrii,79
Lactuca serriola,79
Leccinum schistophilum,79
Lepra corallina,79
Leymus arenarius,79
Mycena silvae-nigrae,79
Mycosphaerella latebrosa,79
Periconia atra,79
Placynthiella icmalea,79
Polyporus melanopus,79
Pyrenopeziza brassicae,79
Ruscus aculeatus,79
Tremella versicolor,79
Trichoglossum walteri,79
Tuberculina persicina,79
Vuilleminia alni,79
Acrospermum pallidulum,78
Alatospora pulchella,78
Allium schoenoprasum,78
Alopecurus pratensis,78
Amarenomyces ammophilae,78
Apiospora montagnei,78
Cladonia floerkeana,78
Cortinarius livido-ochraceus,78
Drepanopeziza ribis,78
Entoloma elodes,78
Exobasidium myrtilli,78
Galerina,78
Ginkgo biloba,78
Goniopila monticola,78
Leccinum vulpinum,78
Peronospora schachtii,78
Physcia leptalea,78
Plagiostoma inclinatum,78
Plagiostoma salicellum,78
Puccinia calthicola,78
Puccinia nitida,78
Rhytidiadelphus squarrosus,78
Setoseptoria arundinacea,78
Tomentella,78
Tricladium attenuatum,78
Uromyces airae-flexuosae,78
Athelia decipiens,77
Cheirospora botryospora,77
Cryptodiaporthe salicina,77
Dasyscyphella crystallina,77
Epilobium obscurum,77
Erythricium aurantiacum,77
Gloeocystidiellum clavuligerum,77
Hieracium,77
Hypochnicium bombycinum,77
Imperator rhodopurpureus,77
Marasmiellus candidus,77
Myriolecis crenulata,77
Sarcosphaera coronaria,77
Sparassis spathulata,77
Sphaeropsis visci,77
Trapeliopsis flexuosa,77
Aethusa cynapium,76
Brachysporium britannicum,76
Calycellina spiraeae,76
Capitotricha bicolor,76
Cephalotrichum stemonitis,76
Chrysomphalina grossula,76
Chytridium isthmiophilum,76
Coelomycetes,76
Cortinarius croceocoeruleus,76
Cryptostroma corticale,76
Geranium,76
Hodophilus foetens,76
Hortiboletus bubalinus,76
Lachnum pygmaeum,76
Leptosphaeria purpurea,76
Melampsora rostrupii,76
Microthyrium macrosporum,76
Phragmocephala atra,76
Phyllactinia mali,76
Physarum bitectum,76
Puccinia polygoni,76
Ramularia ajugae,76
Ramularia cynarae,76
Ramularia parietariae,76
Ramularia triboutiana,76
Ramularia veronicae,76
Tricholoma arvernense,76
Urtica urens,76
Coleosporium campanulae,75
Cortinarius pratensis,75
Hemimycena hirsuta,75
Hyaloscypha albohyalina,75
Hydnellum glaucopus,75
Hypochnicium erikssonii,75
Inocybe ovatocystis,75
Lecanactis abietina,75
Melanoleuca friesii,75
Peniophora laeta,75
Pezicula cinnamomea,75
Physcia caesia,75
Plenodomus agnitus,75
Rutstroemia vagabunda,75
Spilopodia melanogramma,75
Taphrina caerulescens,75
Trichodelitschia bisporula,75
Tripospermum myrti,75
Uromyces anthyllidis,75
Chaenotheca ferruginea,74
Coprinopsis pseudonivea,74
Dacrymyces minor,74
Dirina massiliensis,74
Endophragmiella boothii,74
Flammulaster ferrugineus,74
Geopora arenicola,74
Hypholoma polytrichi,74
Marasmius limosus,74
Miladina lecithina,74
Peronospora destructor,74
Pholiotina vestita,74
Phyllactinia betulae,74
Polyscytalum fecundissimum,74
Puccinia porri,74
Taphrina potentillae,74
Tricholoma stans,74
Tubaria confragosa,74
Xylaria cinerea,74
Alternaria infectoria,73
Ascocoryne albida,73
Aureoboletus moravicus,73
Clavaria rosea,73
Conocybe dunensis,73
Cortinarius camphoratus,73
Hygrophorus arbustivus,73
Lathyrus oleraceus,73
Lindtneria leucobryophila,73
Lophiostoma caulium,73
Microthyrium versicolor,73
Mollisia coerulans,73
Phaeosphaeria fuckelii,73
Plectania melastoma,73
Polypodium interjectum x vulgare = P. x mantoniae,73
Protomyces pachydermus,73
Psathyrella sphagnicola,73
Robinia pseudoacacia,73
Russula decipiens,73
Russula furcata,73
Sordariomycetes,73
Tainosphaeria simplex,73
Thecaphora seminis-convolvuli,73
Tylospora asterophora,73
Xylodon asper,73
Allophylaria campanuliformis,72
Aphididae,72
Calamagrostis epigejos,72
Calycellina populina,72
Clinopodium vulgare,72
Coprinellus ellisii,72
Coprotus granuliformis,72
Cortinarius azureovelatus,72
Cribraria persoonii,72
Exobasidium japonicum,72
Geastrum schmidelii,72
Hemimycena mauretanica,72
Incrucipulum sulphurellum,72
Lachnum clavigerum,72
Lepiota xanthophylla,72
Lycoperdon mammiforme,72
Melampsora allii-fragilis,72
Melanoleuca strictipes,72
Melanoleuca verrucipes,72
Microbotryum tragopogonis-pratensis,72
Ranunculus bulbosus,72
Stemonitopsis hyperopta,72
Stephanonectria keithii,72
Tephrocybe confusa,72
Thelebolus microsporus,72
Toniniopsis aromatica,72
Alnicola luteolofibrillosa,71
Armillaria borealis,71
Comatricha laxa,71
Coniophora olivacea,71
Coprinus,71
Dendryphion nanum,71
Fusarium,71
Godronia ribis,71
Heliscina campanulata,71
Hydnellum caeruleum,71
Hyphodermella corrugata,71
Laetinaevia carneoflavida,71
Lichen,71
