severity,toxicity,dangerous,dangerous_key,lookalike,lookalike_key,character,dangerous_described,lookalike_described,verdict,REVIEW_states_for_undescribed_side,REVIEW_notes,REVIEWER
1,DEADLY,Amanita virosa,amanita-virosa,Calocybe gambosa,calocybe-gambosa,gill_colour,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Amanita virosa,amanita-virosa,Calocybe gambosa,calocybe-gambosa,ring,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Amanita virosa,amanita-virosa,Calocybe gambosa,calocybe-gambosa,volva,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Amanita virosa,amanita-virosa,Cuphophyllus virgineus,cuphophyllus-virgineus,gill_colour,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Amanita virosa,amanita-virosa,Cuphophyllus virgineus,cuphophyllus-virgineus,ring,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Amanita virosa,amanita-virosa,Cuphophyllus virgineus,cuphophyllus-virgineus,volva,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Amanita virosa,amanita-virosa,Inocybe geophylla,inocybe-geophylla,ring,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Amanita virosa,amanita-virosa,Inocybe geophylla,inocybe-geophylla,volva,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Amanita virosa,amanita-virosa,Lycoperdon excipuliforme,lycoperdon-excipuliforme,gill_colour,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Amanita virosa,amanita-virosa,Lycoperdon excipuliforme,lycoperdon-excipuliforme,ring,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Amanita virosa,amanita-virosa,Lycoperdon excipuliforme,lycoperdon-excipuliforme,spore_print_colour,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Amanita virosa,amanita-virosa,Lycoperdon excipuliforme,lycoperdon-excipuliforme,volva,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Amanita virosa,amanita-virosa,Lycoperdon nigrescens,lycoperdon-nigrescens,gill_colour,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Amanita virosa,amanita-virosa,Lycoperdon nigrescens,lycoperdon-nigrescens,ring,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Amanita virosa,amanita-virosa,Lycoperdon nigrescens,lycoperdon-nigrescens,spore_print_colour,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Amanita virosa,amanita-virosa,Lycoperdon nigrescens,lycoperdon-nigrescens,volva,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Amanita virosa,amanita-virosa,Lycoperdon perlatum,lycoperdon-perlatum,gill_colour,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Amanita virosa,amanita-virosa,Lycoperdon perlatum,lycoperdon-perlatum,ring,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Amanita virosa,amanita-virosa,Lycoperdon perlatum,lycoperdon-perlatum,spore_print_colour,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Amanita virosa,amanita-virosa,Lycoperdon perlatum,lycoperdon-perlatum,volva,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Amanita virosa,amanita-virosa,Scleroderma verrucosum,scleroderma-verrucosum,gill_colour,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Amanita virosa,amanita-virosa,Scleroderma verrucosum,scleroderma-verrucosum,ring,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Amanita virosa,amanita-virosa,Scleroderma verrucosum,scleroderma-verrucosum,spore_print_colour,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Amanita virosa,amanita-virosa,Scleroderma verrucosum,scleroderma-verrucosum,volva,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Ampulloclitocybe clavipes,ampulloclitocybe-clavipes,cap_surface,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Ampulloclitocybe clavipes,ampulloclitocybe-clavipes,gill_spacing,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Clitocybe rivulosa,clitocybe-rivulosa,Ampulloclitocybe clavipes,ampulloclitocybe-clavipes,habitat,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
